,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
0,1,XRP,XRP,2013-08-05 23:59:59,0.006,0.0056,0.0059,0.0056,0.0,43879157.32
1,2,XRP,XRP,2013-08-06 23:59:59,0.0057,0.0046,0.0056,0.0047,0.0,36591007.7403
2,3,XRP,XRP,2013-08-07 23:59:59,0.0047,0.0043,0.0047,0.0044,0.0,34534120.936
3,4,XRP,XRP,2013-08-08 23:59:59,0.0044,0.0042,0.0044,0.0043,0.0,33258632.2164
4,5,XRP,XRP,2013-08-09 23:59:59,0.0044,0.0043,0.0043,0.0043,0.0,33547503.2442
5,6,XRP,XRP,2013-08-10 23:59:59,0.0044,0.0043,0.0043,0.0043,0.0,33724969.3425
6,7,XRP,XRP,2013-08-11 23:59:59,0.0044,0.0043,0.0043,0.0044,0.0,34518485.1564
7,8,XRP,XRP,2013-08-12 23:59:59,0.0045,0.0044,0.0044,0.0044,0.0,34778195.4553
8,9,XRP,XRP,2013-08-13 23:59:59,0.0045,0.0042,0.0045,0.0042,0.0,33190303.8597
9,10,XRP,XRP,2013-08-14 23:59:59,0.0043,0.0038,0.0043,0.0038,0.0,29617450.0458
10,11,XRP,XRP,2013-08-15 23:59:59,0.0038,0.0031,0.0038,0.0031,0.0,24172680.7002
11,12,XRP,XRP,2013-08-16 23:59:59,0.0032,0.0029,0.0031,0.0031,0.0,24497514.021
12,13,XRP,XRP,2013-08-17 23:59:59,0.0057,0.0031,0.0031,0.0057,0.0,44335331.1893
13,14,XRP,XRP,2013-08-18 23:59:59,0.0063,0.0056,0.0057,0.0056,0.0,43916526.8332
14,15,XRP,XRP,2013-08-19 23:59:59,0.0058,0.0052,0.0056,0.0053,0.0,41125305.6407
15,16,XRP,XRP,2013-08-20 23:59:59,0.0062,0.0053,0.0054,0.0061,0.0,47673882.8461
16,17,XRP,XRP,2013-08-21 23:59:59,0.0063,0.0059,0.0061,0.0061,0.0,47928746.0533
17,18,XRP,XRP,2013-08-22 23:59:59,0.0061,0.0051,0.0061,0.0051,0.0,40205218.1911
18,19,XRP,XRP,2013-08-23 23:59:59,0.0052,0.0049,0.0052,0.0051,0.0,40172930.3063
19,20,XRP,XRP,2013-08-24 23:59:59,0.0056,0.0051,0.0051,0.0055,0.0,43357938.6075
20,21,XRP,XRP,2013-08-25 23:59:59,0.0061,0.0055,0.0055,0.0061,0.0,47719539.3225
21,22,XRP,XRP,2013-08-26 23:59:59,0.0065,0.0061,0.0061,0.0064,0.0,50166773.3641
22,23,XRP,XRP,2013-08-27 23:59:59,0.0069,0.0064,0.0065,0.0065,0.0,50441337.6536
23,24,XRP,XRP,2013-08-28 23:59:59,0.0065,0.0061,0.0065,0.0062,0.0,48830305.1041
24,25,XRP,XRP,2013-08-29 23:59:59,0.0062,0.0058,0.0062,0.0058,0.0,45051371.7154
25,26,XRP,XRP,2013-08-30 23:59:59,0.0063,0.0056,0.0058,0.0059,0.0,46362744.5491
26,27,XRP,XRP,2013-08-31 23:59:59,0.0061,0.0056,0.0059,0.0056,0.0,44028635.3728
27,28,XRP,XRP,2013-09-01 23:59:59,0.0059,0.0056,0.0056,0.0058,0.0,45239782.8594
28,29,XRP,XRP,2013-09-02 23:59:59,0.0061,0.0055,0.0058,0.0055,0.0,43216200.2656
29,30,XRP,XRP,2013-09-03 23:59:59,0.0057,0.0054,0.0055,0.0057,0.0,44326106.0794
30,31,XRP,XRP,2013-09-04 23:59:59,0.0063,0.0055,0.0057,0.0057,0.0,44522804.1865
31,32,XRP,XRP,2013-09-05 23:59:59,0.006,0.0055,0.0057,0.0057,0.0,44677285.6888
32,33,XRP,XRP,2013-09-06 23:59:59,0.0062,0.0056,0.0057,0.0059,0.0,45856301.6484
33,34,XRP,XRP,2013-09-07 23:59:59,0.0063,0.0058,0.0059,0.0062,0.0,48259599.1493
34,35,XRP,XRP,2013-09-08 23:59:59,0.0063,0.0061,0.0062,0.0062,0.0,48338325.2995
35,36,XRP,XRP,2013-09-09 23:59:59,0.0066,0.0061,0.0062,0.0063,0.0,49018247.1747
36,37,XRP,XRP,2013-09-10 23:59:59,0.0063,0.0058,0.0063,0.0058,0.0,45404896.6918
37,38,XRP,XRP,2013-09-11 23:59:59,0.0064,0.0057,0.0058,0.0063,0.0,49043420.7799
38,39,XRP,XRP,2013-09-12 23:59:59,0.0064,0.006,0.0063,0.0063,0.0,49632889.6702
39,40,XRP,XRP,2013-09-13 23:59:59,0.0067,0.0063,0.0063,0.0065,0.0,50918776.1832
40,41,XRP,XRP,2013-09-14 23:59:59,0.0066,0.0063,0.0065,0.0063,0.0,49564170.4189
41,42,XRP,XRP,2013-09-15 23:59:59,0.0065,0.0063,0.0063,0.0065,0.0,50595584.6192
42,43,XRP,XRP,2013-09-16 23:59:59,0.0071,0.0062,0.0065,0.0071,0.0,55164281.2347
43,44,XRP,XRP,2013-09-17 23:59:59,0.0097,0.0071,0.0071,0.0096,0.0,75152827.3182
44,45,XRP,XRP,2013-09-18 23:59:59,0.0109,0.0096,0.0096,0.0108,0.0,84291705.9484
45,46,XRP,XRP,2013-09-19 23:59:59,0.0112,0.0108,0.0108,0.011,0.0,85666872.7628
46,47,XRP,XRP,2013-09-20 23:59:59,0.0111,0.0101,0.011,0.0101,0.0,79063101.2555
47,48,XRP,XRP,2013-09-21 23:59:59,0.0101,0.0096,0.0101,0.0097,0.0,75835641.8126
48,49,XRP,XRP,2013-09-22 23:59:59,0.0106,0.0097,0.0097,0.0104,0.0,81353742.9645
49,50,XRP,XRP,2013-09-23 23:59:59,0.0107,0.01,0.0104,0.01,0.0,78239095.6714
50,51,XRP,XRP,2013-09-24 23:59:59,0.0105,0.01,0.01,0.0104,0.0,81684439.7027
51,52,XRP,XRP,2013-09-25 23:59:59,0.0107,0.0104,0.0105,0.0104,0.0,81563262.411
52,53,XRP,XRP,2013-09-26 23:59:59,0.0121,0.0104,0.0104,0.0117,0.0,91574070.2896
53,54,XRP,XRP,2013-09-27 23:59:59,0.0147,0.0118,0.0118,0.0146,0.0,113875382.71
54,55,XRP,XRP,2013-09-28 23:59:59,0.015,0.0138,0.015,0.0138,0.0,108162068.85
55,56,XRP,XRP,2013-09-29 23:59:59,0.0143,0.0129,0.0138,0.0129,0.0,100599042.265
56,57,XRP,XRP,2013-09-30 23:59:59,0.0128,0.0105,0.0128,0.0109,0.0,85467516.5731
57,58,XRP,XRP,2013-10-01 23:59:59,0.0124,0.0105,0.0109,0.0105,0.0,82312216.253
58,59,XRP,XRP,2013-10-02 23:59:59,0.0105,0.0071,0.0105,0.0079,0.0,61466360.3749
59,60,XRP,XRP,2013-10-03 23:59:59,0.0091,0.0077,0.0078,0.0091,0.0,71234188.2389
60,61,XRP,XRP,2013-10-04 23:59:59,0.01,0.0089,0.0089,0.0099,0.0,77187120.421
61,62,XRP,XRP,2013-10-05 23:59:59,0.0098,0.0091,0.0097,0.0095,0.0,74176060.1676
62,63,XRP,XRP,2013-10-06 23:59:59,0.0106,0.0095,0.0095,0.0098,0.0,76764407.1199
63,64,XRP,XRP,2013-10-07 23:59:59,0.0097,0.0092,0.0097,0.0092,0.0,72233939.9855
64,65,XRP,XRP,2013-10-08 23:59:59,0.0097,0.0091,0.0092,0.0095,0.0,73884452.8784
65,66,XRP,XRP,2013-10-09 23:59:59,0.0097,0.0094,0.0094,0.0097,0.0,75545285.3858
66,67,XRP,XRP,2013-10-10 23:59:59,0.0101,0.0096,0.0097,0.0099,0.0,77089631.3353
67,68,XRP,XRP,2013-10-11 23:59:59,0.0099,0.0089,0.0099,0.009,0.0,70127096.8654
68,69,XRP,XRP,2013-10-12 23:59:59,0.0094,0.0085,0.0089,0.0094,0.0,73347832.923
69,70,XRP,XRP,2013-10-13 23:59:59,0.0094,0.0082,0.0094,0.0084,0.0,65761509.0267
70,71,XRP,XRP,2013-10-14 23:59:59,0.0088,0.0084,0.0085,0.0085,0.0,66366535.5177
71,72,XRP,XRP,2013-10-15 23:59:59,0.0085,0.0079,0.0085,0.0081,0.0,62941908.8943
72,73,XRP,XRP,2013-10-16 23:59:59,0.0081,0.0072,0.0081,0.0073,0.0,57107730.4581
73,74,XRP,XRP,2013-10-17 23:59:59,0.0084,0.0073,0.0073,0.0083,0.0,65224107.2824
74,75,XRP,XRP,2013-10-18 23:59:59,0.0084,0.0076,0.0083,0.0079,0.0,62093355.1363
75,76,XRP,XRP,2013-10-19 23:59:59,0.008,0.0068,0.0079,0.0073,0.0,56694711.3404
76,77,XRP,XRP,2013-10-20 23:59:59,0.0076,0.0066,0.0072,0.0067,0.0,52377125.345
77,78,XRP,XRP,2013-10-21 23:59:59,0.0069,0.0066,0.0067,0.0066,0.0,51865991.7104
78,79,XRP,XRP,2013-10-22 23:59:59,0.007,0.0065,0.0067,0.0068,0.0,53516426.4244
79,80,XRP,XRP,2013-10-23 23:59:59,0.0079,0.0068,0.0068,0.0079,0.0,61551184.4792
80,81,XRP,XRP,2013-10-24 23:59:59,0.0088,0.0065,0.0079,0.0086,0.0,67201720.6842
81,82,XRP,XRP,2013-10-25 23:59:59,0.0087,0.0065,0.0086,0.0069,0.0,53632209.3722
82,83,XRP,XRP,2013-10-26 23:59:59,0.0069,0.006,0.0069,0.0061,0.0,47410889.0335
83,84,XRP,XRP,2013-10-27 23:59:59,0.0068,0.006,0.006,0.0068,0.0,53493207.2917
84,85,XRP,XRP,2013-10-28 23:59:59,0.0068,0.0059,0.0068,0.0059,0.0,46453822.9652
85,86,XRP,XRP,2013-10-29 23:59:59,0.006,0.0058,0.0059,0.006,0.0,46892406.5825
86,87,XRP,XRP,2013-10-30 23:59:59,0.0062,0.0058,0.006,0.0059,0.0,45768350.3882
87,88,XRP,XRP,2013-10-31 23:59:59,0.0061,0.0058,0.0059,0.0061,0.0,47476950.2022
88,89,XRP,XRP,2013-11-01 23:59:59,0.0064,0.006,0.0061,0.0064,0.0,49670962.7935
89,90,XRP,XRP,2013-11-02 23:59:59,0.0068,0.0062,0.0063,0.0068,0.0,53274384.5564
90,91,XRP,XRP,2013-11-03 23:59:59,0.0074,0.0068,0.0068,0.0072,0.0,55978045.3832
91,92,XRP,XRP,2013-11-04 23:59:59,0.0075,0.0069,0.0071,0.007,0.0,54811928.9418
92,93,XRP,XRP,2013-11-05 23:59:59,0.0073,0.0065,0.007,0.0072,0.0,55899162.8752
93,94,XRP,XRP,2013-11-06 23:59:59,0.0078,0.0071,0.0071,0.0078,0.0,60789252.9401
94,95,XRP,XRP,2013-11-07 23:59:59,0.009,0.0077,0.0078,0.0089,0.0,69883022.3461
95,96,XRP,XRP,2013-11-08 23:59:59,0.0108,0.009,0.009,0.0107,0.0,83819505.4049
96,97,XRP,XRP,2013-11-09 23:59:59,0.0111,0.0084,0.0107,0.0087,0.0,67644525.962
97,98,XRP,XRP,2013-11-10 23:59:59,0.0089,0.0071,0.0089,0.0086,0.0,67307340.3752
98,99,XRP,XRP,2013-11-11 23:59:59,0.0093,0.0082,0.0086,0.0087,0.0,67866006.7798
99,100,XRP,XRP,2013-11-12 23:59:59,0.0096,0.0087,0.0087,0.0096,0.0,74713696.4486
100,101,XRP,XRP,2013-11-13 23:59:59,0.0117,0.0096,0.0096,0.0108,0.0,84792050.8951
101,102,XRP,XRP,2013-11-14 23:59:59,0.0112,0.0093,0.0108,0.0096,0.0,75413553.9428
102,103,XRP,XRP,2013-11-15 23:59:59,0.0101,0.0092,0.0096,0.0097,0.0,75714151.8053
103,104,XRP,XRP,2013-11-16 23:59:59,0.0104,0.0096,0.0097,0.0101,0.0,79270275.335
104,105,XRP,XRP,2013-11-17 23:59:59,0.0107,0.01,0.0102,0.0102,0.0,79811273.3086
105,106,XRP,XRP,2013-11-18 23:59:59,0.0117,0.009,0.0103,0.0109,0.0,85352593.5931
106,107,XRP,XRP,2013-11-19 23:59:59,0.0119,0.0056,0.0106,0.0072,0.0,56486364.5774
107,108,XRP,XRP,2013-11-20 23:59:59,0.0075,0.0057,0.0071,0.0075,0.0,58373837.7099
108,109,XRP,XRP,2013-11-21 23:59:59,0.0101,0.0073,0.0075,0.0099,0.0,77672767.7349
109,110,XRP,XRP,2013-11-22 23:59:59,0.01,0.0086,0.01,0.0097,0.0,75969562.2648
110,111,XRP,XRP,2013-11-23 23:59:59,0.0105,0.0096,0.0096,0.0098,0.0,76595853.416
111,112,XRP,XRP,2013-11-24 23:59:59,0.0118,0.0091,0.0098,0.0117,0.0,91218356.3041
112,113,XRP,XRP,2013-11-25 23:59:59,0.0184,0.0117,0.0117,0.0182,0.0,142348137.333
113,114,XRP,XRP,2013-11-26 23:59:59,0.0304,0.0188,0.0189,0.0299,0.0,233852628.403
114,115,XRP,XRP,2013-11-27 23:59:59,0.03,0.0224,0.03,0.0241,0.0,188378308.85
115,116,XRP,XRP,2013-11-28 23:59:59,0.0301,0.0278,0.0279,0.029,0.0,226572609.429
