,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
0,1,Binance Coin,BNB,2017-07-26 23:59:59,0.109,0.0993,0.1059,0.1051,200395.0,10513800.0
1,2,Binance Coin,BNB,2017-07-27 23:59:59,0.1085,0.1009,0.1051,0.1077,344499.0,10773700.0
2,3,Binance Coin,BNB,2017-07-28 23:59:59,0.109,0.1015,0.1076,0.1041,342568.0,10406700.0
3,4,Binance Coin,BNB,2017-07-29 23:59:59,0.1113,0.1011,0.1048,0.1078,340218.0,10781100.0
4,5,Binance Coin,BNB,2017-07-30 23:59:59,0.1081,0.1032,0.1079,0.1064,224261.0,10641400.0
5,6,Binance Coin,BNB,2017-07-31 23:59:59,0.1083,0.1016,0.1068,0.1042,240309.0,10425000.0
6,7,Binance Coin,BNB,2017-08-01 23:59:59,0.1063,0.0961,0.1046,0.0999,300413.0,9986680.0
7,8,Binance Coin,BNB,2017-08-02 23:59:59,0.1012,0.0974,0.0997,0.1005,256793.0,10045200.0
8,9,Binance Coin,BNB,2017-08-03 23:59:59,0.107,0.0991,0.1003,0.1066,293008.0,10664200.0
9,10,Binance Coin,BNB,2017-08-04 23:59:59,0.1078,0.1027,0.1067,0.1075,287621.0,10749400.0
10,11,Binance Coin,BNB,2017-08-05 23:59:59,0.1447,0.1071,0.1074,0.1289,542878.0,12887100.0
11,12,Binance Coin,BNB,2017-08-06 23:59:59,0.133,0.1274,0.1293,0.131,393681.0,13099900.0
12,13,Binance Coin,BNB,2017-08-07 23:59:59,0.1498,0.1333,0.134,0.1488,748177.0,14884800.0
13,14,Binance Coin,BNB,2017-08-08 23:59:59,0.2269,0.1478,0.149,0.2244,2617340.0,22442100.0
14,15,Binance Coin,BNB,2017-08-09 23:59:59,0.2606,0.2222,0.2247,0.2429,3075320.0,24291200.0
15,16,Binance Coin,BNB,2017-08-10 23:59:59,0.35,0.2451,0.2518,0.3491,4118070.0,34907900.0
16,17,Binance Coin,BNB,2017-08-11 23:59:59,0.4097,0.3111,0.3488,0.3926,4413920.0,39257200.0
17,18,Binance Coin,BNB,2017-08-12 23:59:59,0.476,0.3376,0.3922,0.4464,5080760.0,44636500.0
18,19,Binance Coin,BNB,2017-08-13 23:59:59,1.0226,0.446,0.446,0.8768,13852100.0,87682800.0
19,20,Binance Coin,BNB,2017-08-14 23:59:59,1.4634,0.7358,0.8729,1.2956,51698100.0,129557000.0
20,21,Binance Coin,BNB,2017-08-15 23:59:59,1.3789,0.9234,1.3271,1.0566,19824400.0,105655000.0
21,22,Binance Coin,BNB,2017-08-16 23:59:59,1.4527,1.0787,1.1197,1.4372,31363100.0,143724000.0
22,23,Binance Coin,BNB,2017-08-17 23:59:59,2.1113,1.3236,1.437,1.9671,61296500.0,196715000.0
23,24,Binance Coin,BNB,2017-08-18 23:59:59,2.7541,1.8947,1.9252,2.384,69048000.0,238400000.0
24,25,Binance Coin,BNB,2017-08-19 23:59:59,2.3344,1.8199,2.3344,2.0934,43391300.0,209337000.0
25,26,Binance Coin,BNB,2017-08-20 23:59:59,2.6894,2.0758,2.1082,2.5026,65350400.0,250258000.0
26,27,Binance Coin,BNB,2017-08-21 23:59:59,2.9089,2.4307,2.4307,2.7011,72000600.0,270111000.0
27,28,Binance Coin,BNB,2017-08-22 23:59:59,2.7245,2.2248,2.7245,2.4853,52091300.0,248527000.0
28,29,Binance Coin,BNB,2017-08-23 23:59:59,2.9555,2.474,2.474,2.5804,64925100.0,258043000.0
29,30,Binance Coin,BNB,2017-08-24 23:59:59,2.664,2.2834,2.6274,2.3793,45080400.0,237932000.0
