,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
0,1,Bitcoin,BTC,4/29/2013 23:59,147.488,134,134.444,144.54,0,1603768865
1,2,Bitcoin,BTC,4/30/2013 23:59,146.93,134.05,144,139,0,1542813125
2,3,Bitcoin,BTC,5/1/2013 23:59,139.89,107.72,139,116.99,0,1298954594
3,4,Bitcoin,BTC,5/2/2013 23:59,125.6,92.2819,116.38,105.21,0,1168517495
4,5,Bitcoin,BTC,5/3/2013 23:59,108.128,79.1,106.25,97.75,0,1085995169
5,6,Bitcoin,BTC,5/4/2013 23:59,115,92.5,98.1,112.5,0,1250316563
6,7,Bitcoin,BTC,5/5/2013 23:59,118.8,107.143,112.9,115.91,0,1288693176
7,8,Bitcoin,BTC,5/6/2013 23:59,124.663,106.64,115.98,112.3,0,1249023060
8,9,Bitcoin,BTC,5/7/2013 23:59,113.444,97.7,112.25,111.5,0,1240593600
9,10,Bitcoin,BTC,5/8/2013 23:59,115.78,109.6,109.6,113.566,0,1264049202
10,11,Bitcoin,BTC,5/9/2013 23:59,113.46,109.26,113.2,112.67,0,1254535382
11,12,Bitcoin,BTC,5/10/2013 23:59,122,111.551,112.799,117.2,0,1305479080
12,13,Bitcoin,BTC,5/11/2013 23:59,118.679,113.01,117.7,115.243,0,1284207489
13,14,Bitcoin,BTC,5/12/2013 23:59,117.449,113.435,115.64,115,0,1281982625
14,15,Bitcoin,BTC,5/13/2013 23:59,118.699,114.5,114.82,117.98,0,1315710011
15,16,Bitcoin,BTC,5/14/2013 23:59,119.8,110.25,117.98,111.5,0,1243874488
16,17,Bitcoin,BTC,5/15/2013 23:59,115.81,103.5,111.4,114.22,0,1274623813
17,18,Bitcoin,BTC,5/16/2013 23:59,118.76,112.2,114.22,118.76,0,1325726787
18,19,Bitcoin,BTC,5/17/2013 23:59,125.3,116.571,118.21,123.015,0,1373723882
19,20,Bitcoin,BTC,5/18/2013 23:59,125.25,122.3,123.5,123.498,0,1379574546
20,21,Bitcoin,BTC,5/19/2013 23:59,124.5,119.571,123.211,121.99,0,1363204703
21,22,Bitcoin,BTC,5/20/2013 23:59,123.621,120.12,122.5,122,0,1363709900
22,23,Bitcoin,BTC,5/21/2013 23:59,123,121.21,122.02,122.88,0,1374013440
23,24,Bitcoin,BTC,5/22/2013 23:59,124.001,122,122.89,123.889,0,1385778993
24,25,Bitcoin,BTC,5/23/2013 23:59,126.934,123.1,123.8,126.7,0,1417769833
25,26,Bitcoin,BTC,5/24/2013 23:59,133.85,125.719,126.3,133.2,0,1491070770
26,27,Bitcoin,BTC,5/25/2013 23:59,133.219,128.9,133.1,131.98,0,1477958233
27,28,Bitcoin,BTC,5/26/2013 23:59,136,130.615,131.986,133.48,0,1495293015
28,29,Bitcoin,BTC,5/27/2013 23:59,135.465,124.7,133.5,129.745,0,1454029510
29,30,Bitcoin,BTC,5/28/2013 23:59,130.58,125.6,129.77,129,0,1446189975
30,31,Bitcoin,BTC,5/29/2013 23:59,132.59,127.662,129,132.3,0,1483734578
31,32,Bitcoin,BTC,5/30/2013 23:59,132.25,127,132.25,128.799,0,1445053941
32,33,Bitcoin,BTC,5/31/2013 23:59,129.9,126.4,128.799,129,0,1447870200
33,34,Bitcoin,BTC,6/1/2013 23:59,129.78,127.199,128.815,129.3,0,1451916165
34,35,Bitcoin,BTC,6/2/2013 23:59,129.4,115.05,129.3,122.292,0,1373837500
35,36,Bitcoin,BTC,6/3/2013 23:59,122.5,116,122.5,122.222,0,1373708058
36,37,Bitcoin,BTC,6/4/2013 23:59,123.84,119.1,120.737,121.42,0,1365337545
37,38,Bitcoin,BTC,6/5/2013 23:59,123.469,119.899,121.4,121.65,0,1368486469
