,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
0,1,Dogecoin,DOGE,2013-12-16 23:59:59,0.0009,0.0002,0.0003,0.0002,0.0,1509085.1596
1,2,Dogecoin,DOGE,2013-12-17 23:59:59,0.0003,0.0001,0.0002,0.0003,0.0,2169687.9813
2,3,Dogecoin,DOGE,2013-12-18 23:59:59,0.0004,0.0002,0.0003,0.0004,0.0,3188943.2096
3,4,Dogecoin,DOGE,2013-12-19 23:59:59,0.0015,0.0003,0.0004,0.0012,0.0,11150339.2183
4,5,Dogecoin,DOGE,2013-12-20 23:59:59,0.0011,0.0007,0.0011,0.0007,0.0,7284337.1184
5,6,Dogecoin,DOGE,2013-12-21 23:59:59,0.0007,0.0004,0.0007,0.0004,0.0,4360316.3434
6,7,Dogecoin,DOGE,2013-12-22 23:59:59,0.0005,0.0003,0.0004,0.0003,0.0,3706592.1877
7,8,Dogecoin,DOGE,2013-12-23 23:59:59,0.0005,0.0003,0.0003,0.0005,0.0,5644793.3514
8,9,Dogecoin,DOGE,2013-12-24 23:59:59,0.0009,0.0005,0.0005,0.0007,0.0,9075937.8229
9,10,Dogecoin,DOGE,2013-12-25 23:59:59,0.0007,0.0006,0.0007,0.0006,0.0,8194483.244
10,11,Dogecoin,DOGE,2013-12-26 23:59:59,0.0007,0.0005,0.0006,0.0006,0.0,8836621.0156
11,12,Dogecoin,DOGE,2013-12-27 23:59:59,0.0006,0.0005,0.0006,0.0005,477422.0,8016603.6489
12,13,Dogecoin,DOGE,2013-12-28 23:59:59,0.0005,0.0005,0.0005,0.0005,341581.0,7374148.7765
13,14,Dogecoin,DOGE,2013-12-29 23:59:59,0.0005,0.0004,0.0005,0.0005,360974.0,7634717.1697
14,15,Dogecoin,DOGE,2013-12-30 23:59:59,0.0005,0.0004,0.0005,0.0004,276660.0,7270541.8993
15,16,Dogecoin,DOGE,2013-12-31 23:59:59,0.0005,0.0004,0.0004,0.0004,273400.0,7689658.6732
16,17,Dogecoin,DOGE,2014-01-01 23:59:59,0.0005,0.0004,0.0004,0.0004,307917.0,8335005.0005
17,18,Dogecoin,DOGE,2014-01-02 23:59:59,0.0004,0.0003,0.0004,0.0004,318037.0,6935467.0973
18,19,Dogecoin,DOGE,2014-01-03 23:59:59,0.0004,0.0003,0.0004,0.0003,303106.0,6162989.7455
19,20,Dogecoin,DOGE,2014-01-04 23:59:59,0.0003,0.0003,0.0003,0.0003,313907.0,6323971.5197
20,21,Dogecoin,DOGE,2014-01-05 23:59:59,0.0003,0.0002,0.0003,0.0003,245107.0,5883643.9123
21,22,Dogecoin,DOGE,2014-01-06 23:59:59,0.0003,0.0002,0.0003,0.0003,265529.0,5711172.4171
22,23,Dogecoin,DOGE,2014-01-07 23:59:59,0.0003,0.0002,0.0003,0.0002,212892.0,5198193.3502
23,24,Dogecoin,DOGE,2014-01-08 23:59:59,0.0002,0.0002,0.0002,0.0002,174256.0,5422855.0866
24,25,Dogecoin,DOGE,2014-01-09 23:59:59,0.0003,0.0002,0.0002,0.0002,314644.0,6035300.0228
25,26,Dogecoin,DOGE,2014-01-10 23:59:59,0.0004,0.0002,0.0002,0.0004,570553.0,9440391.3622
26,27,Dogecoin,DOGE,2014-01-11 23:59:59,0.0005,0.0003,0.0004,0.0004,986660.0,9264268.5623
27,28,Dogecoin,DOGE,2014-01-12 23:59:59,0.0004,0.0003,0.0004,0.0003,296158.0,9207367.9112
28,29,Dogecoin,DOGE,2014-01-13 23:59:59,0.0003,0.0003,0.0003,0.0003,391890.0,7601922.0979
29,30,Dogecoin,DOGE,2014-01-14 23:59:59,0.0004,0.0003,0.0003,0.0003,577691.0,9605481.3628
30,31,Dogecoin,DOGE,2014-01-15 23:59:59,0.0004,0.0003,0.0003,0.0004,1259190.0,11931633.8451
31,32,Dogecoin,DOGE,2014-01-16 23:59:59,0.0004,0.0004,0.0004,0.0004,483679.0,11370074.0545
32,33,Dogecoin,DOGE,2014-01-17 23:59:59,0.0004,0.0004,0.0004,0.0004,716054.0,12561727.1711
33,34,Dogecoin,DOGE,2014-01-18 23:59:59,0.0006,0.0004,0.0004,0.0006,2998020.0,18272131.498
34,35,Dogecoin,DOGE,2014-01-19 23:59:59,0.0008,0.0006,0.0006,0.0007,3509460.0,22169606.0967
35,36,Dogecoin,DOGE,2014-01-20 23:59:59,0.0013,0.0007,0.0007,0.0013,9061440.0,40786394.2243
36,37,Dogecoin,DOGE,2014-01-21 23:59:59,0.0023,0.0013,0.0013,0.0018,13114300.0,60303237.8248
