,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
0,1,Ethereum,ETH,2015-08-08 23:59:59,2.7988,0.7147,2.7938,0.7533,674188.0,45486894.2408
1,2,Ethereum,ETH,2015-08-09 23:59:59,0.8798,0.6292,0.7061,0.7019,532170.0,42399573.4991
2,3,Ethereum,ETH,2015-08-10 23:59:59,0.7299,0.6365,0.714,0.7084,405283.0,42818364.3945
3,4,Ethereum,ETH,2015-08-11 23:59:59,1.1314,0.6632,0.7081,1.0679,1463100.0,64569288.4328
4,5,Ethereum,ETH,2015-08-12 23:59:59,1.2899,0.8836,1.0588,1.2174,2150620.0,73645010.9863
5,6,Ethereum,ETH,2015-08-13 23:59:59,1.9651,1.172,1.2222,1.8277,4068680.0,110607191.674
6,7,Ethereum,ETH,2015-08-14 23:59:59,2.2619,1.7548,1.8109,1.8279,4637030.0,110672321.811
7,8,Ethereum,ETH,2015-08-15 23:59:59,1.8772,1.571,1.8029,1.6889,2554360.0,102303608.467
8,9,Ethereum,ETH,2015-08-16 23:59:59,1.6952,1.0898,1.6844,1.566,3550790.0,94901005.3503
9,10,Ethereum,ETH,2015-08-17 23:59:59,1.5812,1.1853,1.5812,1.2036,1942830.0,87295366.5007
10,11,Ethereum,ETH,2015-08-18 23:59:59,1.3312,1.087,1.2153,1.087,1485680.0,78868413.078
11,12,Ethereum,ETH,2015-08-19 23:59:59,1.318,1.1669,1.1669,1.2589,1486240.0,91366391.4393
12,13,Ethereum,ETH,2015-08-20 23:59:59,1.5333,1.2483,1.2512,1.4649,2843760.0,106351420.178
13,14,Ethereum,ETH,2015-08-21 23:59:59,1.5564,1.3528,1.4775,1.3953,2020970.0,101331855.597
14,15,Ethereum,ETH,2015-08-22 23:59:59,1.4764,1.3527,1.3963,1.3792,948310.0,100201825.662
15,16,Ethereum,ETH,2015-08-23 23:59:59,1.4097,1.2978,1.375,1.3526,1589300.0,98300351.3461
16,17,Ethereum,ETH,2015-08-24 23:59:59,1.3628,1.2313,1.3456,1.2313,924920.0,89515256.5525
17,18,Ethereum,ETH,2015-08-25 23:59:59,1.2418,1.1286,1.2286,1.1402,1307180.0,82922632.9052
18,19,Ethereum,ETH,2015-08-26 23:59:59,1.2025,1.0618,1.1328,1.16,1056750.0,84390923.5384
19,20,Ethereum,ETH,2015-08-27 23:59:59,1.1888,1.1373,1.1698,1.1477,686662.0,83524585.3858
20,21,Ethereum,ETH,2015-08-28 23:59:59,1.2078,1.1205,1.1477,1.1914,721872.0,86731076.6374
21,22,Ethereum,ETH,2015-08-29 23:59:59,1.2072,1.1495,1.1935,1.1825,375377.0,86113894.6912
22,23,Ethereum,ETH,2015-08-30 23:59:59,1.368,1.1706,1.183,1.3193,1337650.0,96097349.1063
23,24,Ethereum,ETH,2015-08-31 23:59:59,1.3961,1.201,1.3214,1.3582,1447180.0,98963974.8992
24,25,Ethereum,ETH,2015-09-01 23:59:59,1.3927,1.3366,1.3535,1.3516,778862.0,98507500.0511
25,26,Ethereum,ETH,2015-09-02 23:59:59,1.3549,1.2646,1.3516,1.2948,883769.0,94389544.2517
26,27,Ethereum,ETH,2015-09-03 23:59:59,1.31,1.211,1.2952,1.2649,702991.0,92234142.4838
27,28,Ethereum,ETH,2015-09-04 23:59:59,1.3025,1.2368,1.2649,1.2744,474391.0,92953700.9787
28,29,Ethereum,ETH,2015-09-05 23:59:59,1.3423,1.2712,1.2806,1.3388,448453.0,97683882.5429
